study	group	n	source	GRWR	PVF_per_100g	PVF_basis	donor_PVF_per_100g_ref	PVP	PVP_basis	CVP	CVP_basis	CVP_measured	in_main_analysis	outcome	outcome_type	events	events_basis	pct	notes
Troisi 2003	G1, no inflow modulation	11	Table 3 & 5, p.S38-39	1.120	268.000	reported	91.000		not applicable		not applicable	False	True	SFSS	SFSS_or_dysfunction	3	reported	27.270	PVF/GW mean 268±230 (Table 3); donor PVF/GW 91±16 (Table 2)
Troisi 2003	G2, after splenic artery ligation	13	Table 4 & 5	1.130	240.000	reported	91.000		not applicable		not applicable	False	True	SFSS	SFSS_or_dysfunction	0	reported	0.000	PVF/GW 360±143 before -> 240±91 after inflow modulation (Table 4)
Troisi 2005	G1, no modulation, GRWR <=0.8	5	Table 4, p.1399	0.730	401.000	reported	118.000		not applicable		not applicable	False	True	SFSS	SFSS_or_dysfunction	3	reported	60.000	donor PVF/GW 117-120 (Table 3); 1-year graft survival 20%
Troisi 2005	G2, hemiportocaval shunt	8	Table 4, p.1399	0.710	190.000	reported	118.000		not applicable		not applicable	False	True	SFSS	SFSS_or_dysfunction	0	reported	0.000	PVF2/GW 190±70 with shunt open (PVF1 537 clamped); 1-year graft survival 75%
Ou 2010	rPVF >250, no modulation	2	Table 2 & 3, p.878	0.930	268.000	reported	90.000		not applicable		not applicable	False	True	SFSS	SFSS_or_dysfunction	2	reported	100.000	patients 1-2: 251 and 285 mL/min/100 g (Table 2); mean 268
Ou 2010	rPVF >250, SAL or splenectomy	6	Table 2 & 3, p.878	1.060	186.000	reported	90.000		not applicable		not applicable	False	True	SFSS	SFSS_or_dysfunction	1	reported	16.670	pre 296,416,554,257,413,495 -> post 186,147,236,87,165,296 mL/min/100 g (Table 2); mean of post values
Vasavada 2014	PVF >190 (day 0)	27	section 4.7, p.179		190.000	threshold	90.000		not applicable		not applicable	False	False	early graft dysfunction (Kyushu definition)	SFSS_or_dysfunction	10	reported	37.040	group defined by threshold; PVF set to the threshold 190; means: dysfunction 193±54 vs no dysfunction 139±55 (Table 1)
Vasavada 2014	PVF <=190	107	section 4.7, p.179		139.000	group mean	90.000		not applicable		not applicable	False	False	early graft dysfunction	SFSS_or_dysfunction	9	reported	8.410	group defined by threshold; PVF set to the mean of the non-dysfunction group (139)
Alim 2016	GRWR <0.8 (SAL if PVF >250)	43	Results, p.1645; Table 2	0.760	220.000	reported	90.000		not applicable		not applicable	False	True	SFSS	SFSS_or_dysfunction	1	reported	2.330	median PVF 220 (IQR 195-250); 5 patients SAL 336 -> 240; the 6 adverse outcomes had PVF 210-250 (Table 1)
Chan 2011	right lobe with MHV, no modulation	46	Table 2, p.116; Table 3		318.000	reported	81.000	14.000	reported	8.000	derived	False	True	hospital death	mortality_or_graft_loss	2	reported	4.350	PVP after implantation median 14; portocaval gradient reported 6 mmHg -> CVP derived as 8; complications unrelated to flow or pressure
Yagi 2006	PVP kept <20	27	Results, p.374; Table 1	1.060	295.000	derived	90.000	14.200	reported	5.200	reported	True	True	1-year death	mortality_or_graft_loss	2	reported	7.410	PVF 1828±592 mL/min divided by median graft weight 620 g -> 295 mL/min/100 g (derived); CVP 5.2±2.8 measured; 1-year survival 92.3%
Wang 2014	splenectomy	154	Table 1; Fig 3c		371.000	reported	90.000	16.100	reported	5.000	imputed	False	True	primary graft dysfunction	SFSS_or_dysfunction	15	reported	9.740	PVP 24.9 -> 16.1 at closure; primary graft dysfunction 9.7% (Fig. 3c)
Wang 2014	no splenectomy	122	Table 1; Fig 3c		337.000	reported	90.000	18.400	reported	5.000	imputed	False	True	primary graft dysfunction	SFSS_or_dysfunction	24	reported	19.670	primary graft dysfunction 19.7% (Fig. 3c)
Wang 2014	PVP at closure >=20	54	Table 2			not applicable		21.000	imputed	5.000	imputed	False	True	graft loss <6 months	mortality_or_graft_loss	9	reported	16.670	graft loss 9/54 (Table 2); PVP set to 21 as a representative value of the >=20 group (imputed)
Wang 2014	PVP at closure <20	238	Table 2			not applicable		16.000	imputed	5.000	imputed	False	True	graft loss <6 months	mortality_or_graft_loss	21	reported	8.820	graft loss 21/238 (Table 2); PVP set to 16 as a representative value of the <20 group (imputed)
Osman 2017	A: final PVP <15	39	Table 1, p.298	1.060		not applicable		12.150	reported	5.000	imputed	False	True	SFSS	SFSS_or_dysfunction	1	reported	2.560	PVP final mean 12.15 (Table 1); 90-day mortality 3/39
Osman 2017	B: final PVP 15-19	37	Table 1, p.298	1.000		not applicable		17.140	reported	5.000	imputed	False	True	SFSS	SFSS_or_dysfunction	6	reported	16.220	PVP final mean 17.14 (Table 1); 90-day mortality 9/37
Ogura 2010	final PVP <15	86	Results, p.723			not applicable		12.200	derived	6.000	reported	True	True	2-year death	mortality_or_graft_loss	6	derived	6.980	portocaval gradient 6.2±0.3 and CVP 6.0 reported; PVP derived as 12.2; 2-year survival 93.0% -> 6 deaths derived from percentage
Ogura 2010	final PVP >=15	43	Results, p.723			not applicable		16.700	derived	6.800	reported	True	True	2-year death	mortality_or_graft_loss	14	derived	32.560	portocaval gradient 9.9±0.4 and CVP 6.8 reported; PVP derived as 16.7; 2-year survival 66.3% -> 14 deaths derived from percentage
Yagi 2005	L: PVP <20 (POD 1-3)	15	Results, p.70			not applicable		15.400	reported	5.000	imputed	False	True	1-year death	mortality_or_graft_loss	1	derived	6.670	PVP mean 15.4 (range 13-17.6) on POD 1-3; 1-year survival 92.9% -> 1 death derived from percentage
Yagi 2005	H: PVP >=20 (POD 1-3)	17	Results, p.70			not applicable		23.700	reported	5.000	imputed	False	True	1-year death	mortality_or_graft_loss	7	derived	41.180	PVP mean 23.7 (range 20-31) on POD 1-3; 1-year survival 58.8% -> 7 deaths derived from percentage
Yamada 2008	HPCS for PVP >20 (GRWR 0.58-0.79)	10	Table 4 column F, p.851	0.700		not applicable		18.500	reported	10.100	reported	True	True	SFSS	SFSS_or_dysfunction	0	reported	0.000	mean of individual PVP (18.5) and CVP (10.1) before closure, Table 4 column F; gradient 3-13 mmHg
